"row ID","REVENUE_VOICE_oct","REVENUE_GPRS_oct","REVENUE_SMS_oct","REVENUE_VAS_oct","VOLUME_MIN_oct","VOLUME_NO_oct","VOLUME_MIN_country_X_oct","VOLUME_NO_country_X_oct","VOLUME_MIN_country_Y_oct","VOLUME_NO_country_Y_oct","VOLUME_MIN_Neighbou_octr","VOLUME_NO_Neighbour_oct","VOLUME_MIN_West_Europe_oct","VOLUME_NO_West_Europe_oct","VOLUME_MIN_East_Europe_oct","VOLUME_NO_East_Europe_oct","VOLUME_MIN_OTHERDEST_oct","VOLUME_NO_OTHERDEST_oct","NO_SMS_OTHERDEST_oct","NO_GPRS_OTHERDEST_oct","VOLUME_MIN_COMPETITION_oct","VOLUME_NO_COMPETITION_oct","NO_SMS_COMPETITION_oct","NO_GPRS_COMPETITION_oct","NO_ROAMING_oct","SCORE_ID","AGE","GENDER","REVENUE_AMOUNT_oct","NUM_OF_RECHARGE_oct","CHURN","Prediction (DecTree)"
"45",777,0,17,0,27.31,23,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,1,0,4.03,4,0,0,0,80,73,"M",555.8753,1,"0","0"
"46",556,376,0,0,12.86,48,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,29,9.52,15,0,0,0,80,55,"F",171.6,,"0","0"
"48",2423,1285,51,5,69.01,132,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,3,61,40.47,40,0,0,0,60,53,"M",2278.8342,2,"0","0"
"49",90,0,0,0,1.54,4,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.72,1,0,0,0,80,47,"M",89.65,,"0","0"
"51",377,0,0,0,12.46,15,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,3.38,4,0,0,0,80,42,"M",148.38,,"0","0"
"52",1249,0,34,17,31.12,40,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,2,0,3.03,6,0,0,0,70,55,"M",612.8866,1,"0","0"
"56",995,0,51,0,23.65,48,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,3,16,15.78,19,0,0,0,80,32,"M",237.05,,"0","0"
"57",1449,0,51,0,38.62,36,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,3,0,14.11,13,0,0,0,80,46,"M",449.25,,"0","0"
"61",110,0,0,5,3.08,4,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,1.23,1,0,0,0,,48,"F",109.8,,"0","0"
"62",121,0,0,0,2.2,6,0,1,0.0,0,0.27,1,0,0,0,0,0.0,0,0,0,0.18,2,0,0,0,80,32,"F",54.12,1,"0","0"
"64",761,0,136,0,23.83,27,0,0,0.0,0,0.0,0,0,1,0,0,0.0,0,8,0,9.53,7,0,0,0,70,61,"M",292.9262,1,"0","0"
"65",789,0,119,17,10.4,31,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,7,0,2.07,8,0,0,0,80,54,"M",452.05,1,"0","0"
"71",471,0,0,0,11.22,31,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,9.21,22,0,0,0,80,51,"F",223.6266,,"0","0"
"73",380,0,17,0,2846.62,88,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,1,0,0.0,0,0,0,0,,47,"M",296.95,,"0","0"
"79",83,0,17,0,1.36,5,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,1,0,0.0,0,0,0,0,,30,"M",83.0,,"0","0"
"81",1686,0,459,5,17.72,47,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,27,0,0.0,0,0,0,0,,43,"M",2149.64,2,"0","0"
"85",757,0,17,0,19.79,38,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,1,0,9.9,11,0,0,0,70,71,"M",94.225,,"0","0"
"86",456,0,51,0,19.44,23,0,0,0.0,0,0.0,0,0,1,0,0,0.0,0,3,0,1.78,4,0,0,0,80,46,"F",389.8013,,"0","0"
"87",226,0,85,0,4.06,17,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,5,0,2.25,8,0,0,0,80,23,"M",174.75,,"0","0"
"89",149,0,0,0,2.15,8,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,80,56,"M",105.865,1,"0","0"
"90",1740,272,663,0,2010.15,118,0,0,0.0,0,0.0,0,0,0,0,0,0.15,1,39,2,1.12,4,0,0,0,80,40,"M",1424.45,3,"0","0"
"97",45,0,30,0,0.51,11,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,7,0,0.35,2,0,0,0,,35,"F",75.0,,"0","0"
"100",836,0,17,0,14.15,16,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,1,0,6.65,8,0,0,0,80,44,"M",593.1648,1,"0","0"
"104",270,0,0,0,3.55,8,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,1.52,5,0,0,0,80,75,"M",242.6549,1,"0","0"
"107",444,0,0,0,166.3,11,1,1,0.0,0,1.48,1,0,0,0,0,0.0,0,0,0,0.65,2,0,0,0,70,28,"M",444.0855,1,"0","0"
"109",561,0,0,0,14.96,18,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,13.03,11,0,0,0,80,50,"M",257.7865,1,"0","0"
"110",51,0,119,0,0.83,12,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,7,0,0.06,2,0,0,0,80,50,"F",82.025,,"1","0"
"111",444,0,17,0,8.01,18,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,1,0,1.2,1,0,0,0,80,62,"M",266.2,1,"0","0"
"113",843,0,0,0,33.76,31,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,4.24,2,0,0,0,80,24,"M",270.3533,,"0","0"
"117",290,345,0,0,8.12,81,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,67,1.12,2,0,0,0,80,23,"M",89.1,1,"0","0"
"119",136,0,0,0,2.83,6,0,1,0.0,0,0.15,1,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,,47,"M",103.4,1,"0","0"
"120",1344,0,136,0,12.13,14,0,0,0.9,1,10.79,4,0,0,0,0,0.0,0,8,0,1.2,2,0,0,0,,47,"M",380.5,1,"0","0"
"122",285,494,290,0,619.2,115,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,35,54,0.05,2,0,0,0,80,28,"M",910.9771,1,"0","0"
"126",1074,0,34,0,14.75,21,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,2,0,2.15,2,0,0,0,80,53,"M",103.1816,1,"0","0"
"128",1979,0,17,0,91.63,56,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,1,0,11.89,19,0,0,0,60,24,"M",141.35,,"0","0"
"133",89,15858,0,17,19.08,821,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,814,2.08,4,0,0,0,,43,"F",15056.9232,2,"1","1"
"134",319,0,0,0,6.93,12,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.77,1,0,0,0,80,49,"M",285.5,,"0","0"
"139",310,0,153,60,8.37,20,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,9,0,2.53,4,0,0,0,60,31,"F",174.86,,"0","0"
"144",212,0,17,0,5.44,9,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,1,0,4.47,5,0,0,0,80,64,"F",41.0883,,"0","0"
"151",207,0,442,0,6.22,37,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,26,0,0.25,1,0,0,0,80,39,"M",364.405,1,"0","0"
"153",185,0,68,17,4.35,15,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,3,0,3.44,5,0,0,0,80,28,"M",101.1,,"0","0"
"159",156,97,408,0,2.72,34,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,24,4,0.05,2,0,0,0,,47,"M",480.65,,"0","0"
"166",315,0,204,0,9.06,58,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,34,0,0.0,0,0,0,0,80,28,"M",242.1,,"1","0"
"167",672,49,51,9,33.74,90,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,3,74,0.73,2,0,0,0,,19,"M",739.3287,1,"1","0"
"168",662,0,0,0,7.79,31,0,0,0.0,0,2.9,6,0,0,0,1,0.0,0,0,0,1.87,7,0,0,1,80,81,"M",107.8866,,"0","0"
"169",797,0,34,0,31.94,19,0,0,0.03,1,0.03,1,0,0,0,0,0.0,0,2,0,0.0,0,0,0,0,80,52,"M",773.2503,,"0","0"
"171",352,0,34,0,3.74,9,0,0,1.02,1,1.02,1,0,0,0,0,0.0,0,2,0,0.43,1,0,0,0,80,37,"F",125.8933,1,"0","0"
"172",36,0,0,5,0.46,5,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,,43,"M",36.0,,"0","0"
"174",314,0,0,0,10.31,17,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,2.13,4,0,0,0,80,32,"M",162.2333,,"0","0"
"175",504,0,34,0,11.12,25,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,2,5,3.18,5,0,0,0,,43,"M",409.75,1,"0","0"
"181",245,0,68,0,8.73,12,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,4,0,0.18,1,0,0,0,80,56,"F",164.9883,,"0","0"
"182",661,0,17,13,8.07,15,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,1,0,1.12,2,0,0,0,,25,"M",690.95,1,"0","0"
"184",1849,0,51,0,29.57,33,0,0,1.3,2,1.3,2,0,0,0,0,0.0,0,3,0,5.2,4,0,0,0,70,29,"M",543.2966,,"0","0"
"185",7,0,0,0,0.25,1,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,80,31,"M",7.35,,"1","0"
"195",429,0,17,5,18.94,11,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,1,0,0.0,0,0,0,0,70,32,"M",129.8,,"0","0"
"201",218,0,153,0,578.33,28,0,1,0.0,0,0.02,1,0,0,0,0,0.0,0,9,0,0.12,2,0,0,0,80,31,"M",50.5,,"0","0"
"202",821,0,0,0,22.97,10,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.22,1,0,0,0,80,40,"M",460.35,,"0","0"
"203",870,0,0,0,23.85,21,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,5.66,5,0,0,0,,56,"M",272.4,,"0","0"
"206",15,0,51,0,0.49,6,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,3,1,0.0,0,0,0,0,80,42,"F",48.7,,"0","0"
"208",132,0,0,0,4.83,6,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.9,1,0,0,0,80,77,"M",33.32,,"0","0"
"213",81,0,306,0,2.36,57,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,50,0,0.0,0,0,0,0,80,28,"M",210.0,,"0","0"
"214",123,0,51,0,8.52,11,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,3,0,1.35,4,0,0,0,80,52,"M",39.6,1,"0","0"
"216",1692,0,0,0,40.77,53,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,7.75,7,0,0,0,70,50,"M",1119.5616,2,"0","0"
"224",17,0,17,0,2670.82,62,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,1,0,0.0,0,0,0,0,,21,"M",17.0,,"1","1"
"226",331,0,0,0,8.58,12,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.02,1,0,0,0,80,35,"M",137.95,,"0","0"
"231",1343,0,272,0,45.7,77,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,15,0,3.25,4,0,0,0,70,22,"M",658.525,2,"1","0"
"232",356,0,0,0,11.55,19,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,80,47,"M",94.08,,"0","0"
"233",515,1392,289,0,14.62,98,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,17,54,0.83,4,0,0,0,80,26,"M",325.3216,1,"0","0"
"235",156,27,20,0,2.65,38,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,3,26,0.0,0,0,0,0,,23,"M",199.8443,,"1","0"
"243",848,1585,170,54,13.1,145,0,0,0.0,0,0.23,4,0,1,0,0,0.0,0,9,118,5.9,5,0,0,0,,29,"M",1451.3,1,"0","0"
"244",125,0,0,0,2.28,4,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,1.25,2,0,0,0,,36,"M",125.4,1,"0","0"
"246",835,0,0,0,12.03,18,0,0,1.45,2,1.45,2,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,80,41,"F",608.7,,"0","0"
"247",113,0,0,0,2.09,8,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,1.51,4,0,0,0,80,42,"F",22.9066,,"0","0"
"249",164,0,0,0,2.72,7,0,1,0.0,0,0.02,1,0,0,0,0,0.0,0,0,0,0.95,2,0,0,0,70,23,"F",36.3,,"0","0"
"251",260,0,0,0,7.1,7,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.85,2,0,0,0,80,29,"M",259.6,1,"0","0"
"252",511,0,102,5,5.03,20,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,6,0,0.08,3,0,0,0,,22,"M",184.65,1,"0","0"
"254",611,0,0,0,19.0,19,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,3.67,5,0,0,0,80,54,"M",376.1749,1,"0","0"
"258",108,0,0,0,4.3,3,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,80,27,"M",108.36,,"0","0"
"261",402,0,0,0,10.25,14,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,3,0,1.63,2,0,0,0,,47,"M",402.0,,"0","0"
"263",356,0,0,0,7.15,14,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.95,4,0,0,0,,21,"M",356.4,,"0","0"
"267",141,0,0,0,6.32,4,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.22,1,0,0,0,80,43,"M",132.2406,,"0","0"
"269",1634,0,323,0,51.03,50,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,19,0,13.35,5,0,0,0,70,23,"M",1141.75,,"0","0"
"272",708,0,17,0,15.17,25,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,1,0,0.78,3,0,0,0,80,29,"F",475.2,,"0","0"
"273",38,0,16,0,1.18,5,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,2,0,0.8,1,0,0,0,80,50,"F",6.0,,"1","0"
"275",306,0,34,0,4.61,17,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,2,0,1.15,3,0,0,0,80,43,"M",220.55,,"0","0"
"276",762,0,0,3,65.33,41,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,10.72,18,0,0,0,80,58,"M",205.425,1,"0","0"
"277",201,0,0,0,162.01,25,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,8,0,0.0,0,0,0,0,,22,"M",43.2,,"0","0"
"280",548,0,0,0,17.22,24,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,3.72,4,0,0,0,80,46,"M",334.405,1,"0","0"
"281",303,0,0,0,6.67,12,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,80,26,"M",175.45,1,"0","0"
"284",662,10,153,0,208.39,40,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,9,2,8.86,16,0,0,0,70,47,"M",223.3,1,"0","0"
"286",2238,0,0,0,40.27,57,2,3,0.0,0,2.23,3,0,0,0,0,0.0,0,0,0,9.93,16,0,0,0,70,45,"M",895.3,,"0","0"
"292",345,0,85,0,3.29,12,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,4,0,2.58,1,0,0,0,80,46,"M",232.775,1,"0","0"
"293",379,0,0,0,8.6,14,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,5.43,5,0,0,0,80,52,"M",345.4048,1,"0","0"
"294",1047,0,272,34,27.65,67,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,16,0,17.0,30,0,0,0,70,72,"M",652.6763,,"0","0"
"296",165,0,0,0,3.77,5,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,1.88,1,0,0,0,70,56,"M",46.2833,1,"0","0"
"298",456,0,136,17,10.21,30,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,8,0,1.07,2,0,0,0,80,58,"F",388.2033,1,"0","0"
"299",1975,0,68,0,75.05,73,0,0,0.13,2,0.13,2,0,1,0,0,0.0,0,4,0,3.48,5,0,0,0,60,25,"M",1290.8911,1,"0","0"
"300",223,0,0,0,7.34,13,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,2.52,7,0,0,0,80,63,"M",222.9228,,"0","0"
"302",493,0,0,0,9.66,11,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.58,1,0,0,0,,40,"M",492.8,1,"1","0"
"306",143,0,0,0,4.57,6,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,1.07,1,0,0,0,80,80,"F",32.13,,"0","0"
"308",1604,0,85,0,46.35,45,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,5,0,0.38,1,0,0,0,70,50,"M",927.7507,1,"0","0"
"313",2006,0,0,0,66.67,55,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,1.8,3,0,0,0,80,71,"M",122.3949,,"0","0"
"316",256,0,0,0,8.11,9,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.37,1,0,0,0,80,57,"M",146.9733,,"0","0"
"317",215,0,0,0,3.04,11,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.42,1,0,0,0,80,50,"M",181.5,1,"0","0"
"325",160,0,0,0,3.93,5,0,0,0.17,1,0.17,1,0,0,0,0,0.0,0,0,0,3.19,3,0,0,0,80,47,"M",79.8682,,"0","0"
"326",389,0,0,0,12.33,14,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,80,40,"M",319.575,1,"0","0"
"329",144,283,68,0,3.83,84,0,0,0.0,0,0.0,0,0,1,0,0,0.0,0,4,66,0.0,0,0,0,0,70,39,"M",297.9048,1,"0","0"
"330",422,0,0,0,4.74,13,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.45,1,0,0,0,80,54,"F",375.935,,"0","0"
"332",274,0,85,0,7.21,13,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,5,0,7.13,8,0,0,0,80,20,"M",124.7,,"0","0"
"334",406,0,0,0,13.04,20,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,5.37,5,0,0,0,80,31,"F",178.9732,,"0","0"
"340",3294,0,1666,0,195.14,130,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,93,0,11.51,6,0,0,0,,32,"M",1253.8,3,"0","0"
"345",17,15,0,0,2706.59,52,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,4,0.0,0,0,0,0,,31,"M",31.1484,,"1","0"
"346",625,0,17,0,22.13,27,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,1,0,9.53,15,0,0,0,80,42,"F",429.1881,,"0","0"
"349",293,0,102,0,1.33,17,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,6,0,0.0,0,0,0,0,,20,"M",204.0,,"0","0"
"351",904,0,0,0,16.69,21,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,3.9,9,0,0,0,80,45,"M",222.75,,"0","0"
"352",5771,0,3366,623,2349.6,591,3,1,0.0,0,3.93,1,0,0,0,0,0.0,0,465,0,11.13,9,0,0,0,,47,"F",2429.2,7,"0","0"
"353",457,0,17,17,11.89,21,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,1,0,3.82,5,0,0,0,80,21,"M",132.275,,"0","0"
"354",249,0,20,0,165.86,25,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,2,0,0.34,2,0,0,0,,44,"M",101.0,,"0","0"
"357",368,0,0,0,10.37,19,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,4.13,6,0,0,0,80,35,"M",244.5765,,"0","0"
"358",967,0,17,0,52.0,35,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,1,0,8.15,12,0,0,0,80,44,"M",773.85,1,"0","0"
"359",275,0,0,0,8.15,16,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.63,3,0,0,0,80,38,"M",137.155,1,"0","0"
"360",102,602,0,0,3.92,103,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,97,0.07,1,0,0,0,70,45,"F",1029.7032,1,"1","0"
"361",356,0,0,0,10.76,16,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,1.42,3,0,0,0,80,41,"M",193.53,,"0","0"
"362",536,0,17,0,14.25,18,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,1,0,5.19,6,0,0,0,80,39,"F",243.65,,"0","0"
"363",822,0,34,0,11.06,23,0,0,0.0,0,0.0,0,0,0,0,0,1.02,4,2,0,2.13,4,0,0,0,80,57,"F",602.1399,1,"0","0"
"365",1358,0,0,0,27.8,25,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,4.68,3,0,0,0,70,51,"M",984.25,2,"1","0"
"367",2259,0,0,0,94.05,63,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,2.78,5,0,0,0,70,65,"M",1423.7992,2,"0","0"
"371",517,0,17,0,13.71,35,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,1,0,5.29,16,0,0,0,80,54,"M",192.9015,,"0","0"
"372",328,0,0,0,8.94,15,1,1,0.0,0,1.15,1,0,0,0,0,0.0,0,0,0,0.33,1,0,0,0,80,66,"M",84.8466,,"0","0"
"373",82,0,34,10,3.09,8,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,2,0,0.0,0,0,0,0,80,28,"M",34.35,1,"0","0"
"384",182,0,0,0,8.45,5,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,80,27,"M",182.1764,1,"0","0"
"385",290,0,17,0,2.69,5,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,1,0,0.45,1,0,0,0,,45,"M",290.0,1,"0","0"
"386",261,0,0,17,7.6,11,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,6.21,7,0,0,0,80,44,"M",223.2848,1,"0","0"
"387",457,0,0,0,5.2,9,0,0,2.92,1,2.92,1,0,0,0,0,0.0,0,0,0,1.3,2,0,0,0,80,54,"M",71.17,,"0","0"
"388",164,0,0,0,5.12,5,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,1.17,1,0,0,0,80,60,"F",75.1233,,"0","0"
"390",642,0,0,0,21.61,19,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,5.08,6,0,0,0,80,53,"F",183.7564,,"0","0"
"394",293,0,0,0,5.69,14,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,1.47,2,0,0,0,80,45,"M",84.15,,"0","0"
"396",483,0,119,0,10.59,23,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,7,0,2.02,2,0,0,0,70,42,"M",158.8,,"0","0"
"399",833,156,0,0,17.35,37,0,1,0.0,0,0.13,1,0,0,0,0,0.0,0,0,21,14.78,13,0,0,0,80,41,"F",232.4504,,"0","0"
"401",645,0,0,0,12.21,26,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,6.38,11,0,0,0,70,47,"M",579.15,1,"0","0"
"404",97,0,0,0,1.88,6,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,2,0.3,1,0,0,0,80,38,"M",69.3,,"1","0"
"405",1041,0,34,0,25.4,32,0,2,0.0,0,0.8,2,0,0,0,0,0.0,0,2,0,5.49,5,0,0,0,70,65,"M",650.98,1,"0","0"
"406",135,0,68,0,3.92,12,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,4,0,0.0,0,0,0,0,80,22,"M",86.36,,"0","0"
